"Location Name","Location ID","Comments within last month / comments last recorded","Registered manager","Location UPRN","Location telephone number","Location Web Address","Location Local Authority","Location ADASS Region","Primary inspection category","Service Types","Care homes beds","Location HSCA start date","Location HSCA end date","Dormant","Location Latest Overall Rating","Publication Date","Service users supported","Size of care home (bands by number of beds)","Location length of service (bands by number of years)","Location safe rating","Location effective rating","Location caring rating","Location responsive rating","Location well-led rating","Provider Name","Provider ID","Provider HSCA start date","Provider length of service (bands by number of years)","Provider Ownership Type","Provider Companies House Number","Provider characteristic - number of locations","Provider characteristic - national group size (based on locations)","Provider characteristic - number of beds","Provider characteristic - share of beds (nationally)","Provider characteristic - number of local authority areas where it has locations","Provider characteristic - % of local authority areas where it has locations","Brand Name","Brand ID","Brand characteristic - number of locations","Brand characteristic -national group size (based on locations)","Brand characteristic - number of beds","Brand characteristic - share of beds (nationally)","Brand characteristic - % of local authority areas where it has locations","Brand characteristic - number of local authority areas where it has locations"
"Action 2 Care","1-5437911742","","Castree, Georgeta Daniela, Mrs","100032155866","01933409487","","North Northamptonshire","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2018-07-05","","N","Good","7/5/2018 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Action 2 Care Ltd","1-5103109051","7/5/2018 12:00:00 AM","7","Organisation","09811936","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Action Deafness","1-2416079978","","Young, Jessica Dianne, Ms","10091075493","08445938440","www.actiondeafness.org.uk","Leicestershire","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2016-03-03","","N","Good","3/3/2016 12:00:00 AM","Caring for adults under 65 yrs, Caring for children, Sensory impairment","","More than 8 years","Requires improvement","Good","Good","Good","Good","Action Deafness","1-2365820193","3/3/2016 12:00:00 AM","9","Organisation","06706042","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Action Homecare","1-18927900758","","Farinloye, Adewumi Christopher, Mr","100030888318","01406365793","","Lincolnshire","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2024-05-17","","N","","5/17/2024 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities","","More than 1 year but less than 3 years","","","","","","Rehovot Services Ltd","1-7747195699","5/17/2024 12:00:00 AM","1","Organisation","11491783","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Action Plan Care Ltd","1-22005957156","","Maalin, Mohamed Abdi, Mr","202215912","07804625461","","Brent","Greater London (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2025-02-26","","Y","","2/26/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Physical disabilities","","More than 1 year but less than 3 years","","","","","","Action Plan Care Ltd","1-18573472288","2/26/2025 12:00:00 AM","1","Organisation","12801542","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Action24 Healthcare Ltd","1-18132277685","","Amevor, Kofi, Mr","10090584569","02380381968","www.action24healthcare.com","Southampton","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2023-11-22","","N","","11/22/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","","More than 1 year but less than 3 years","","","","","","Action24 Healthcare Ltd","1-16524005203","11/22/2023 12:00:00 AM","2","Organisation","14900748","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Activation Therapy and Case Management Ltd","1-18317356880","","Watson, Timothy Damien, Mr","10091759322","07979648579","","Brighton and Hove","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2024-01-15","","N","","1/15/2024 12:00:00 AM","Caring for adults under 65 yrs, Caring for children, Learning Disabilities or autistic spectrum disorder, Physical disabilities","","More than 1 year but less than 3 years","","","","","","Activation Therapy and Case Management Ltd","1-13931208785","1/15/2024 12:00:00 AM","2","Organisation","10869676","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Active Care & Support Ltd","1-261152454","","Shah, Kruti, Miss","","02089043134","www.activecaresupport.com","Brent","Greater London (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2011-06-13","","N","Good","6/13/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities","","More than 8 years","Good","Good","Good","Good","Good","Active Care & Support Ltd","1-101649087","10/1/2010 12:00:00 AM","15","Organisation","04800982","2","2 - 5 locations","0","0","2","1.00%","","","","","","0","",""
"Active Care & Training Solutions","1-5778583718","","","10035059001","01473517883","","Suffolk","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2018-09-21","","N","Good","9/21/2018 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities, Sensory impairment","","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Mrs Juliette A Macdonald","1-5294473750","9/21/2018 12:00:00 AM","7","Individual","","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Active Care Group - Children's Complex Care","1-1886216042","","Longman, Zara Jodana Paget, Miss","25012184","01908909355","www.activeassistance.com","Milton Keynes","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2015-02-20","","N","Requires improvement","2/20/2015 12:00:00 AM","Dementia, Mental health conditions, Physical disabilities, Sensory impairment, Services for everyone","","More than 8 years","Requires improvement","Requires improvement","Requires improvement","Requires improvement","Inadequate","Staff Management Limited","1-101657491","10/1/2010 12:00:00 AM","15","Organisation","01992626","7","6 - 10 locations","0","0","6","4.00%","BRAND Active Care","BD529","77","More than 50 locations","560","0.06","39","25.00%"
"Active Care Group - North Adults - Complex Care","1-13727215916","","Barker, Natalie, Ms","10091865572","07876896411","","Shropshire","West Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2022-09-16","","N","","9/16/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 3 years but less than 5 years","","","","","","Staff Management Limited","1-101657491","10/1/2010 12:00:00 AM","15","Organisation","01992626","7","6 - 10 locations","0","0","6","4.00%","BRAND Active Care","BD529","77","More than 50 locations","560","0.06","39","25.00%"
"Active Care Group - South Adults - Complex Care","1-12501668835","","Rides, Karen Nicola, Mrs","10033009616","01844394677","www.activecaregroup.co.uk","Oxfordshire","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2022-03-02","","N","","3/2/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 3 years but less than 5 years","","","","","","Staff Management Limited","1-101657491","10/1/2010 12:00:00 AM","15","Organisation","01992626","7","6 - 10 locations","0","0","6","4.00%","BRAND Active Care","BD529","77","More than 50 locations","560","0.06","39","25.00%"
"Active Care Group Support Living Services – Complex","1-19820222965","","Rashid, Raouline, Mrs","10092021033","01732779353","","Lambeth","Greater London (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2024-07-29","","N","","7/29/2024 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 1 year but less than 3 years","","","","","","Independence Homes Limited","1-101643246","10/1/2010 12:00:00 AM","15","Organisation","03419025","13","11 - 20 locations","49","0.01","4","3.00%","BRAND Active Care","BD529","77","More than 50 locations","560","0.06","39","25.00%"
"Active Care Group Supported Services","1-11976602853","","","10007909651","01883331777","www.activecaregroup.co.uk","Surrey","South East (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2021-11-11","","N","Requires Improvement","11/11/2021 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 3 years but less than 5 years","Good","Requires Improvement","Good","Good","Requires Improvement","Independence Homes Limited","1-101643246","10/1/2010 12:00:00 AM","15","Organisation","03419025","13","11 - 20 locations","49","0.01","4","3.00%","BRAND Active Care","BD529","77","More than 50 locations","560","0.06","39","25.00%"
"Active Case Management Limited","1-19219380086","","Blake, Michaela Ann, Miss","10092024346","01942396556","","Wigan","North West (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2024-05-17","","N","","5/17/2024 12:00:00 AM","Dementia, Eating disorders, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment, Substance misuse problems","","More than 1 year but less than 3 years","","","","","","Active Case Management Limited","1-15906074525","5/17/2024 12:00:00 AM","1","Organisation","07516846","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Active Friendly Support Ltd","1-5858642109","","Munasser, Donna, Mrs","100050982319","01143485547","","Sheffield","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2018-10-08","","N","Good","10/8/2018 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Active Friendly Support Ltd","1-4808331914","10/8/2018 12:00:00 AM","7","Organisation","11090496","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Active Homecare","1-6252031687","","Maelzer, Laura Ann, Mrs","10002270191","01582314070","www.activehomecare.co.uk","Central Bedfordshire","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2019-01-29","","N","Outstanding","1/29/2019 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities, Sensory impairment","","More than 5 years but less than 8 years","Good","Good","Outstanding","Good","Outstanding","Active Homecare Ltd","1-6222873039","1/29/2019 12:00:00 AM","7","Organisation","11616302","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Active Olive Healthcare Limited","1-11307600147","","Tapona, Mphokhule Miranda, Miss","200000734610","03301333200","www.activeolive.uk","North Northamptonshire","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2021-12-16","","N","","12/16/2021 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for people whose rights are restricted under the Mental Health Act, Dementia, Eating disorders, Mental health conditions, Physical disabilities, Sensory impairment, Substance misuse problems","","More than 3 years but less than 5 years","","","","","","Active Olive Healthcare Limited","1-9929887397","12/16/2021 12:00:00 AM","4","Organisation","09347158","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Active Pathways Limited Central Support Office","1-120794553","","Shaw, Elizabeth Maureen, Mrs","10091494924","07770559900","www.active-pathways.com","Lancashire","North West (ADASS Region)","Community based adult social care services","Supported living service","0","2011-02-03","","N","Good","2/3/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 8 years","Good","Good","Good","Good","Good","Active Pathways Limited","1-101647164","10/1/2010 12:00:00 AM","15","Organisation","04903455","5","2 - 5 locations","80","0.01","2","1.00%","","","","","","0","",""
"Active Social Care Limited (Kirklees, Calderdale and Bradford)","1-129544686","","Pogson, Karen, Mrs","","01484544100","","Kirklees","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2010-12-08","","N","Outstanding","12/8/2010 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 8 years","Good","Outstanding","Good","Outstanding","Outstanding","Active Social Care Limited","1-101670421","10/1/2010 12:00:00 AM","15","Organisation","02697556","2","2 - 5 locations","1","0","1","1.00%","","","","","","0","",""
"Active Support Clifton Ltd","1-12082875382","","Ward, Michelle Louise, Mrs","100081002576","","","Central Bedfordshire","East (ADASS Region)","Residential social care","Care home service without nursing, Domiciliary care service","4","2022-01-27","","N","Good","1/27/2022 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 3 years but less than 5 years","Good","Good","Good","Outstanding","Good","Active Support Clifton Ltd","1-11627573786","1/27/2022 12:00:00 AM","4","Organisation","13181843","1","1 location","4","0","1","1.00%","","","","","","0","",""
"Active Support Service Ltd","1-3057071262","","Coyne, Shelaine Suzanna, Miss","","01536510545","www.activesupportservice.org.uk","North Northamptonshire","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2016-11-28","","N","Good","11/28/2016 12:00:00 AM","Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities","","More than 8 years","Good","Good","Good","Good","Good","Active Support Service Limited","1-101692320","10/1/2010 12:00:00 AM","15","Organisation","06559104","3","2 - 5 locations","0","0","1","1.00%","","","","","","0","",""
